id,msbase,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname
606,71,73,72,70,73,72,75,79,79,70,75,89,81,66,66,70,2,Gooiseweg
607,75,74,75,79,78,89,82,77,84,78,96,91,86,77,,70,2,Gooiseweg
608,57,56,,,,,54,,,,,,,56,,50,4,Dalsteindreef
609,53,50,,,,,,,,,,,56,,,50,4,Dalsteindreef
612,57,56,,,,,53,,,,,,,57,,50,4,Dalsteindreef
613,53,50,,,,,,,,,,,56,,,50,4,Dalsteindreef
614,74,79,76,74,76,73,85,78,80,81,77,91,89,69,70,70,2,Gooiseweg
615,55,52,,,,,53,,,,,,,55,,50,4,Dalsteindreef
616,51,44,,,,,,,,,,,51,,,50,4,Dalsteindreef
617,96,98,102,99,101,101,98,100,100,100,98,100,97,101,99,100,0,Ringweg-Zuid
618,47,48,51,43,57,51,43,45,62,44,54,61,46,57,60,70,2,Gooiseweg
619,45,46,51,43,57,46,42,45,62,42,54,61,46,57,60,70,2,Gooiseweg
620,49,52,51,54,57,52,52,46,60,44,54,61,57,57,60,70,2,Gooiseweg
621,50,50,46,48,54,48,60,57,50,48,47,54,57,60,50,100,2,AnonymousRoadnl12154721
622,44,46,49,41,51,45,42,43,63,42,54,61,36,40,60,70,2,Gooiseweg
623,27,27,28,34,32,27,42,34,32,32,47,39,19,39,51,70,2,Gooiseweg
624,27,36,28,33,32,24,42,34,31,32,47,39,19,37,51,70,2,Gooiseweg
625,26,32,28,33,32,26,42,34,32,32,47,39,19,39,51,70,2,Gooiseweg
626,29,27,34,30,33,33,43,45,41,20,40,32,18,36,38,70,2,Gooiseweg
627,21,10,13,48,17,24,33,44,31,40,,43,19,36,59,70,2,Gooiseweg
628,25,35,36,33,37,38,12,18,39,,41,,12,42,49,70,2,AnonymousRoadnl12154721
629,41,46,34,36,47,45,42,37,62,36,54,64,33,31,60,70,2,Gooiseweg
630,37,34,35,33,37,44,36,32,39,33,54,64,33,26,49,70,2,Gooiseweg
633,34,10,38,48,40,28,37,44,31,40,,53,19,45,51,70,2,Gooiseweg
634,34,38,37,40,37,38,43,20,29,,41,,31,42,49,130,2,AnonymousRoadnl12154721
635,30,13,28,59,14,31,30,41,39,33,55,28,49,26,11,70,2,AnonymousRoadnl12155523
636,41,38,39,48,40,58,52,44,40,47,,53,19,45,52,70,2,Gooiseweg
637,35,34,31,19,35,45,36,32,39,13,40,63,29,41,62,70,2,Gooiseweg
638,40,42,37,39,45,42,46,48,49,28,45,42,45,44,44,130,2,AnonymousRoadnl12154721
641,45,45,33,41,49,42,54,57,44,47,46,48,52,54,49,100,2,AnonymousRoadnl12154721
642,44,44,43,46,34,60,51,46,47,62,42,98,38,,59,80,2,Gooiseweg
643,62,63,64,62,54,70,67,59,63,60,63,73,70,59,69,70,2,Gooiseweg
644,16,13,14,59,21,30,32,50,8,8,55,5,54,16,13,80,2,AnonymousRoadnl12155523
645,44,37,31,51,39,57,52,51,49,45,61,53,56,38,70,80,2,AnonymousRoadnl12155523
646,45,45,34,41,51,47,47,56,50,45,48,45,50,52,45,130,2,AnonymousRoadnl12154721
647,44,44,21,36,49,47,47,56,50,45,47,45,48,50,47,100,2,AnonymousRoadnl12154721
648,46,49,45,45,,49,,49,66,52,55,51,40,42,46,50,6,Rozenburglaan
649,46,51,45,54,53,49,82,51,50,,,45,,,,50,6,Rozenburglaan
652,52,54,58,59,55,62,61,63,54,54,63,61,59,49,70,100,2,AnonymousRoadnl12155523
655,61,64,69,64,65,63,68,67,66,75,66,61,73,50,70,100,2,AnonymousRoadnl12155523
658,96,98,102,99,100,102,99,99,100,98,99,102,98,101,101,100,0,Ringweg-Zuid
659,73,80,76,80,74,77,79,74,77,84,78,85,88,72,78,100,2,AnonymousRoadnl12155523
660,96,98,101,98,96,97,99,102,102,96,101,101,102,101,100,100,0,Ringweg-Zuid
661,80,82,84,83,81,83,82,83,89,87,86,77,90,82,84,130,2,AnonymousRoadnl12154736
664,92,94,98,97,92,94,96,98,101,95,100,101,99,100,98,100,0,Ringweg-Zuid
665,33,30,,,,,30,,,,,,,,,50,6,Duivendrechtsekade
667,36,31,,,,,32,,,,,,,,,50,6,Duivendrechtsekade
777,95,99,102,99,100,100,99,98,98,99,98,99,99,101,100,100,0,Ringweg-Zuid
779,95,99,102,99,100,99,100,97,99,99,98,99,99,102,100,100,0,Ringweg-Zuid
782,94,95,98,98,96,95,97,96,101,96,101,101,99,100,99,100,0,Ringweg-Zuid
787,95,99,102,99,100,99,99,98,99,99,95,99,99,102,100,100,0,Ringweg-Zuid
788,95,99,100,99,100,99,99,97,99,99,96,99,99,99,99,100,0,Ringweg-Zuid
793,93,94,98,98,95,96,97,97,101,95,101,101,99,100,98,100,0,Ringweg-Zuid
