id,msbase,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit
100,19,,,,,,,,,,,,,,,20
101,,,,,,,,,,,,,,,,20
102,,,,,,,,,,,,,,,,20
103,17,,,,,,,,,,,,,,,20
104,,,,,,,,,,,,,,,,20
105,25,,,,,,,,,,,,,,,20
106,97,7,19,11,27,25,89,100,97,88,96,99,100,98,95,100
107,,,,,,,,,,,,,,,,20
108,,,,,,,,,,,,,,,,20
109,89,92,88,88,90,96,91,86,94,99,90,103,89,91,126,100
110,19,,,,,,,,,,,,,,,20
274,,,,,,,,,,,,,,,,20
111,100,9,19,15,27,22,87,100,99,95,97,102,100,101,100,100
112,21,,,,,,,,,,,,,,,20
113,21,,,,,,,,,,,,,,,20
114,,,,,,,,,,,,,,,,20
115,18,25,,,,,,,,20,,,,,,20
116,20,,,,,,,,,,,,,,,20
117,,,,,,,,,,,,,,,,20
118,,,,,,,,,,,,,,,,20
119,33,29,,34,39,34,42,30,29,40,41,35,,,35,50
120,,124,,,,,,,,,,,,,,50
121,26,,,,,,,,,,,,,,,20
122,43,39,42,41,69,48,,56,33,43,55,49,,,40,50
123,22,,,,,,,,,,,,,,,20
124,21,25,,,,,,,,24,,,,,,20
125,,,,,,,,,,,,,,,,20
126,,,,,,,,,,,,,,,,20
127,102,17,12,14,14,17,87,103,97,95,100,103,101,101,121,100
128,83,6,15,24,26,37,76,64,117,90,89,99,113,83,80,100
129,62,,,,,,,,,,,,,,,35
130,42,26,46,37,78,47,,58,25,23,59,56,,,37,50
131,11,,,,,,,,,,,,,,,50
132,89,97,91,90,88,95,91,87,94,101,91,111,89,88,126,100
133,74,,,,,,,,,,,,,,,35
134,11,,,,,,,,,,,,,,,50
135,33,29,,33,42,34,42,30,29,40,41,36,,,35,50
136,,,,,,,,,,,,,,,,20
137,,,,,,,,,,,,,,,,20
138,89,100,94,90,90,95,91,83,94,103,91,115,97,88,126,100
139,30,30,40,41,38,41,40,34,39,44,36,36,35,26,35,50
140,74,10,,10,,,,,,,,,,,,50
141,40,26,46,33,83,46,,58,25,15,59,56,,,36,50
142,24,24,38,27,32,37,39,44,,,28,,38,28,21,50
143,40,46,46,53,82,46,,58,25,24,59,56,,,36,50
144,34,30,44,37,56,39,47,60,,,32,,42,30,44,50
145,38,38,42,49,43,41,42,36,44,47,36,37,35,42,41,50
146,11,124,,,,,,,,,,,,,,50
147,18,,,,,,,,,,,,,,,20
148,,,,,,,,,,,,,,,,20
149,11,124,,,,,,,,,,,,,,130
150,,,,,,,,,,,,,,,,20
151,,,,,,,,,,,,,,,,20
152,19,,,,,,,,,,,,,,,20
153,,,,,,,,,,,,,,,,20
154,20,,,,,,,,,,,,,,,20
155,,,,,,,26,,,,,,,,,20
156,,,,,,,,,,,,,,,,20
157,,,,,,,,,,,,,,,,20
158,,,,,,,,,,,,,,,,20
159,,,,,,,,,,,,,,,,20
160,,,,,,,,,,,,,,,,20
161,40,46,46,52,82,46,,58,25,61,60,56,,,36,50
162,42,43,57,53,51,48,42,41,48,53,54,48,38,46,46,50
163,17,,,,,,,,,,,,23,,,20
164,1,,,,,,,,,,,,,,,20
165,16,,,,,,,,,,,,,,,20
166,40,47,42,53,87,51,,58,25,61,60,57,,,42,50
167,,,,,,,,,,,,,,,10,20
168,,,,,,,26,,,,,,,,,20
169,18,,,,,,,,,,,,25,,,20
170,21,,,,,,,,,,,,,,,20
171,22,,,,,,,,,,,,,,,20
172,,,,,,,,,,,,,,,,20
173,,,,,,,,,,,,,,,,20
174,,,,,,,,,,,,,,,,20
175,25,,,,,,,,,,,,,,,20
176,19,,,,,,,,,,,,22,,,20
177,41,51,45,48,47,44,35,29,75,51,53,47,39,43,45,50
178,,,,,,,,,,,,,,,,50
179,,,,,,,,58,,,,,,,44,50
180,,,,,,,,,,,,,,,,20
181,,,,,,,,,,,,,,,,20
182,,,,,,,,,,,,,,,,20
183,,,,,,,22,,,,,,,,25,20
184,,,,,,,21,,,,,,,,,20
185,21,,,,,,,,,,,,21,,,20
186,21,,,,,,,,,,,,,,,20
187,,21,,,,,,21,,,,,,,,20
188,,,,,,,,,,,,,,,,20
189,,,,,,,,,,,,,,,,20
190,,,,,,,23,,,,,,,,27,20
191,,,,,,,25,,,,,,,,,20
192,39,37,,44,39,,,47,42,,,48,,,55,50
193,30,44,36,40,33,19,34,24,14,34,24,30,,,23,50
194,,,,,,,,11,24,,,,,,,20
195,,,,,,,,,,,,,,,,20
196,3,,,,,,,,,,,,,,,20
197,,,,,,,,,,,,,,,,20
198,,,,,,,,,,,,,,,,20
199,,,,,,,,,19,,,,,,,20
200,23,,,,,,,,,,,,,,,20
201,15,,,,,,,,,,,,21,25,,20
202,,,,,,,19,,,,,,,,,20
203,,,,,,,,,,,,,,,,20
204,22,42,42,34,45,22,,14,14,,50,47,,,20,50
205,28,42,40,42,41,37,21,20,40,38,42,50,,26,36,50
206,,,,,,,,,,,,,,,,20
207,,,,,,,22,,,,,,,,18,20
208,,,,,,,13,,,,,,,,,20
209,38,45,41,49,64,38,,45,25,,54,52,,,,50
210,14,,,,,,,,75,,,,25,25,,20
211,5,,,,,,,,14,,,,,,18,20
212,16,17,,18,13,,,25,36,,19,34,,,6,50
213,,,,,,,,,,,,,,,,20
214,,,,,,,,,,,,,,,,20
215,37,52,45,42,41,22,44,36,44,42,40,37,,,36,50
216,21,,,,,,,,,,,26,,,,20
217,,,,,,,,,,,,,,,,20
218,26,32,,32,28,,,32,42,,,43,,,49,50
219,24,38,26,34,27,24,23,17,29,25,35,35,,27,30,50
220,,,,,,,,,23,,,,,,,20
221,,,,,,,,,,,,,,,,20
222,,,,,,,,,,,,,,,,20
223,,,,,,,,,,,,,,,,20
224,,,,,,,,,,,,,,,,20
225,,,,,,,,,,,,,,,,20
226,,,,,,,,,,,,,,,,20
227,,,,,,,,13,,,,,,,,20
228,1,,,,,,,,,,,,,,,20
229,,,,,,,,,,,,,,,,20
230,5,,,,,,,,,,,,,,,20
231,,,,,,,,,,,,,,,,20
232,3,,,,,,,,,,,,,,,20
233,,,,,,,,,,,,,,,,20
234,18,,,,,,,,,,,,,,,20
235,,,,,,,,,,,,,,,,20
236,,,,,,,,,,,,,,,,20
237,,,,,,,,9,,,,,,,,20
238,,,,,,,,,,,,,,,,20
239,68,73,71,71,74,72,73,73,69,71,73,73,66,72,90,70
240,,,,,,,,,,,,,,,,20
241,,,,,,,,,,,,,,,,20
242,72,69,79,78,73,70,74,73,70,88,71,87,75,69,77,70
243,19,,,,,,,,,,,,,,,20
244,,,,,,,,,,,,,,,,20
245,,,,,,,,23,,,,,,,,20
246,,,,,,,,,,,,,,,,20
247,72,70,78,78,73,70,72,73,66,76,70,91,74,70,78,70
248,72,69,83,77,71,69,74,73,69,87,72,77,80,69,72,70
249,,,,,,,,,,,,,,,,20
250,,,,,,,,,,,,,,,,20
251,72,70,84,73,71,73,75,73,69,90,74,79,82,69,71,70
252,69,75,72,70,72,76,73,72,71,69,73,73,66,72,103,70
253,6,,,,,,,,,,,,,,,20
254,,,,,,,,,,,,,,,,20
255,29,,,,,,,,,,,,,,,20
256,27,,,,,,,,,,,,,,,20
257,,,,,,,,,,,,,,,,20
258,,,,,,,,,,,,,,,,20
259,,,,,,,,,,,,,,,,20
260,,,,,,,,,,,,,,,,20
261,,,,,,,,,,,,,,,,20
262,,,,,,,,,,,,,,,,20
263,,,,,,,,,,,,,,,,20
264,11,,,,,,,,,,,,,,,20
265,16,,,,,,,,,,,,,,,20
266,,,,,,,,,,,,,,,,20
267,,,,,,,,,,,,,,,,20
268,,,,,,,,,,,,,,,,20
269,,,,,,,,,,,,,,,,20
270,,,,,,,,,,,,,,,,20
271,,,,,,,,,,,,,,,,20
272,,,,,,,,,,,,,,,,20
273,,,,,,,,,,,,,,,,20
275,,,,,,,,,,,,,,,,20
276,,,,,,,,,,,,,,,,20
277,,,,,,,,,,,,,,,,20
278,19,,,,,,,,,,,,,,,20
279,18,,,,,,,,,,,,,,,20
280,,,,,,,,,,,,,,,,20
281,18,,,,,,,,,,,,,,,20
282,,,,,,,,,,,,,,,,20
283,69,74,72,71,73,76,73,72,70,69,73,73,66,72,103,70
284,,,,,,,,,,,,,,,,20
285,,,,,,,,,,,,,,,,20
286,14,,,,,,,,,,,,,,,20
287,,,,,,,,,,,,,,,,20
288,,,,,,,,,,,,,,,,20
289,,,,,,,,,,,,,,,,20
290,,,,,,,,,,,,,,,,20
291,,,,,,,,,,,,,,,,20
292,,,,,,,,,,,,,,,,20
293,,,,,,,,,,,,,,,,20
294,,,,,,,,,,,,,,,,20
295,,,,,,,,,,,,,,,,20
296,,,,,,,,,,,,,,,,20
297,,,,,,,,,,,,,,,,20
298,,,,,,,,,,,,,,,,20
299,,,,,,,,,,,,,,,,20
300,,,,,,,,,,,,,,,,20
301,,,,,,,,,,,,,,,,20
302,,,,,,,,,,,,,,,,20
303,,,,,,,,,,,,,,,,20
304,72,66,84,77,71,74,74,73,69,87,67,80,84,66,70,70
305,33,,41,34,52,43,45,46,41,30,22,45,,37,46,50
306,22,54,49,33,17,27,47,16,37,30,32,23,,16,15,50
307,27,,,,,,,,,,,,,,,20
308,20,,,,,,,,,,,,,,,20
309,70,74,73,76,73,75,73,73,70,71,73,77,68,79,96,70
310,23,,,,,,,,,,,,,,,20
311,,,,,,,,,,,,,,,,20
312,,,,,,,,,,,,,,,,20
313,44,,57,47,43,,53,53,,52,,56,,46,51,70
314,,,,,,,,,,,,,,,,20
315,,,,,,,,12,,,,,,,,20
316,,,,,,,,,,,,,,,,20
317,,,,,,,,,,,,,,,,20
318,24,,,19,,,,23,,,,,,,,20
319,20,,,,,,,,,,,,,,,20
320,72,66,84,77,71,74,75,73,69,89,67,78,84,69,71,70
321,69,74,72,70,72,75,73,71,71,69,74,75,68,72,98,70
322,,,,,,,,,,,,,,,,20
323,,,,,,,,,,,,,,,,20
324,,,,,,,,,,,,,,,,20
325,,,,,,,,,,,,,,,,20
326,,,,,,,,,,,,,,,,20
327,20,,,,,,,,,,,,,,,20
328,,,,,,,,,,,,,,,,20
329,,,,,,,,,,,,,,,,20
330,27,,,,,,,,,,,,,,,20
331,,,,,,,,,,,,,,,,20
332,70,74,72,70,72,76,73,69,71,69,74,73,67,72,104,70
333,72,69,84,75,71,73,75,73,72,90,74,79,84,69,71,70
334,21,28,67,12,40,31,37,12,33,21,20,26,,41,23,50
335,,,,,,,,,,,,,,,,20
336,20,,,,,,,,,,,,,,,20
337,,,,,,,,,,,,,,,,20
338,19,,,,,,,,,,,,,,,20
339,70,74,72,70,73,76,73,71,71,69,74,73,67,72,103,70
340,32,55,49,36,29,28,46,29,26,30,23,34,,33,27,50
341,72,68,84,73,71,73,75,73,69,90,74,79,84,69,71,70
342,46,50,50,45,44,35,43,42,40,37,43,49,,40,54,50
343,,,,,,,,,,,,,,,,20
344,,,,,,,,,,,,,,,,20
345,,,,,,,,,,,,,,,,20
346,,,,,,,,,,,,,,,,20
347,69,74,72,70,72,76,73,72,71,69,74,73,67,72,103,70
348,,,,,,,,10,,,,,,,,20
349,33,,,,,,,,,,,,,,,20
350,,,,,,,,,,,,,,,,20
351,23,,,,,,,,,,,,,,,20
352,20,52,42,31,30,15,26,27,37,22,,43,,19,32,50
353,53,57,54,55,60,,55,49,59,53,53,57,,32,61,70
354,15,,,,,,,,,,,,,,,20
355,,,,,,,,,,,,,,,,20
356,,,,,,,,10,,,,,,,,20
357,32,,,,,,,,,,,,,,,20
358,35,,48,42,40,,45,44,,42,,44,,40,51,70
359,,,,,,,,,,,,,,,,20
360,,,,,,,,10,,,,,,,,20
361,41,53,46,41,48,,40,43,48,39,34,33,,16,36,50
362,33,51,46,49,41,37,45,35,36,40,,43,,19,40,50
363,23,,42,23,37,,31,43,,22,14,37,,37,51,50
364,35,54,46,42,40,32,45,37,38,41,,43,,19,44,50
365,70,75,77,77,73,76,76,71,70,71,73,79,68,81,94,70
366,34,42,46,36,45,,41,38,38,35,34,31,,16,31,50
367,10,,42,16,37,,31,43,,18,9,37,,22,51,50
368,34,,35,40,,,45,38,33,,33,39,,,,50
369,9,,,5,29,21,25,8,33,27,17,,,,28,50
370,10,,10,,,,16,43,,21,11,43,,11,51,50
371,15,,42,10,37,,,46,,,,,,19,,50
372,9,,,9,46,34,39,22,34,27,17,,,,28,50
373,32,56,49,38,38,29,52,37,37,46,,43,,19,44,50
374,,,,,,,,10,,,,,,,,20
375,,,,,,,,,,,,,,,,20
376,32,38,42,33,18,,58,36,47,35,32,28,,16,19,50
377,,,,,,,,,,,,,,,,20
378,,,,,,,,10,,,,,,,,20
379,29,57,49,33,35,28,52,37,37,46,,43,,19,44,50
380,13,,,35,46,34,48,25,34,27,17,,,,28,50
381,25,,42,10,37,,,46,,,,,,19,,50
382,26,54,45,31,17,27,47,37,37,33,32,28,,19,15,50
383,,,,,,,,,,,,,,,,20
384,27,38,41,26,6,,47,36,47,34,32,18,,16,6,50
385,72,66,84,78,71,74,74,73,70,87,67,86,85,65,70,70
386,39,34,,24,44,,38,,,35,,,,32,31,50
439,,,12,,,,,,,,,,,,,20
387,39,,25,42,43,,,,,,,,,,,50
388,,,,,,,,,,,,,,,,20
389,,,,,,,,,,,,,,2,,20
390,,,,18,,,12,,,,,,,20,,20
391,,,,,,,,,,,,,,,,20
392,,,,,,,,,,,,,,,,20
393,,,,,,,,,,,,,,,,20
394,,,,,,,,,,,,,,,,20
395,,,,,,,,,,,,,,19,,20
396,,,,,17,,21,,,,,,,,,20
397,46,,51,50,52,,,,,,,,,,,50
398,,,,,,,,,,,,,,,,20
399,,,,,,,,,,,,,,,,20
400,56,48,,67,,,65,,,35,,,,,62,50
401,44,,52,46,49,,,,,,,,,,,50
402,55,48,,67,,,65,,,35,,,,,62,50
403,44,,52,46,49,,,,,,,,,,,50
404,,,,,,,,,,,,,,,,20
405,,,,,,,,,,,,,,,,20
406,,,,,,,,,,,,,,,,20
407,,,,,,,,,,,,,,,,20
408,,,,,,,,,,,,,,,,20
409,,,,,,,,,,,,,,,,20
410,,,,,,,18,,,,,,,,,20
411,,,,,,,,,,,,,,,,20
412,44,,46,46,49,,,,,,,,,,,50
413,52,48,,67,,,65,,,35,,,,,62,50
414,48,,41,45,49,,,,,,,,,,,50
415,52,48,,67,,,63,,,35,,,,,62,50
416,,,,,,,,,,,,,,,,20
417,,,,,17,,,,,,,,,,,20
418,,,,,,,26,,,,,,,,,20
419,,,,,19,,19,,,,,,,15,,20
420,48,,35,43,49,,,,,,,,,,,50
421,51,50,,67,,,61,,,35,,,,,62,50
422,,,,,,,,,,,,,,,,20
423,,,,,10,,,,,,,,,,,20
424,20,,17,,13,24,17,,,,,,,16,22,50
425,33,35,29,,31,29,26,33,31,,,41,30,34,36,50
426,31,27,33,24,39,33,25,35,,35,,39,,32,35,50
427,28,23,33,26,39,31,25,35,,35,,28,,26,27,50
428,40,28,41,32,45,39,34,45,,35,,41,,31,35,50
429,,,,,,,,,,,,,,,,20
430,,,,,,,,,,,,,,,,20
431,23,38,16,19,30,27,14,40,19,,,28,30,18,21,50
432,28,36,23,17,30,21,21,29,23,,,28,30,31,23,50
433,26,40,,20,36,29,16,43,37,,,28,28,,26,50
434,26,38,,21,21,29,17,43,25,,,28,28,,23,50
435,36,35,34,30,39,34,37,37,,,,45,,32,37,50
436,29,35,12,26,36,24,30,34,,,,27,,20,25,50
437,34,26,36,,25,36,15,37,39,,,53,36,45,44,50
438,44,,,,,,,,,,,,,,,20
440,37,35,42,,39,39,32,43,31,,,51,30,43,43,50
441,,,,,,,,,,,,,,,,20
442,,,4,,,,,,,,,,,,,20
443,43,,,,,,,,,,,,,,,20
444,,,,,,,,,,,,,,,,20
445,27,23,33,26,39,31,25,29,,35,,27,,30,27,50
446,26,32,21,25,39,38,27,29,,,,27,,24,26,50
447,21,,,21,30,,,,,,,,,,,50
448,28,29,,,22,,,,,45,,,,32,43,45
449,44,,42,50,46,55,32,56,53,35,35,,,37,,70
450,29,23,16,36,31,33,28,58,39,33,38,35,28,24,34,45
451,,,,,,,,,,,,,,,,30
452,37,,,,,,,,,,,,,,,30
453,9,11,19,9,4,8,,23,,6,5,,,,,70
454,38,,34,,38,,57,42,46,,63,,37,,36,50
455,32,,27,35,,49,48,35,,57,,,,18,43,50
456,37,,,,,,,,,,,,,,,30
457,,,,,,,,,,,,,,,,30
458,37,,,,,,,,,,,,,,,30
459,,,,,,,,,,,,,,,,30
460,24,18,32,31,32,33,46,59,39,,31,,28,26,36,45
461,45,39,,,39,,,,,48,,,,40,43,50
462,46,47,49,51,,55,49,46,21,,20,,,,22,100
463,,,,,,,,,,,,,,,,30
464,,,,,,,,,,,,,,,,30
465,26,31,32,31,33,33,55,58,39,48,31,,23,38,40,45
466,32,22,,33,24,42,25,,,20,13,30,,26,,50
467,47,37,,,41,,,,,48,,,,40,43,50
468,,,,,,,,,,,,,,,,60
499,19,5,19,46,8,21,,25,,11,21,,,,,70
500,31,38,,,31,30,,,39,22,,,,34,34,50
1017,,,,,,,,,,,,,,,,35
469,,,,,,,,,,,,,,,,60
470,36,29,33,39,25,42,19,45,40,30,14,,,32,43,45
471,11,21,38,9,8,8,,32,,38,5,,,,,70
472,45,7,45,44,40,,,55,,46,53,,,,,70
473,73,80,84,79,72,77,81,73,76,90,77,97,82,79,83,70
474,31,,12,13,,47,28,,,,,,,21,,50
475,31,31,9,38,,39,36,37,13,,9,,,33,13,100
476,,,,,,7,,,,,,,,,,20
477,,,,,,,,,,,,,,,,20
478,,,,,,,,,,,,,,,,20
479,,,,,,11,,,,,,,,,,20
480,71,74,71,70,76,79,78,72,73,75,77,76,70,87,106,70
481,,,,,,,,,,,,,,,,30
482,,,,,,,,,,,,,,,,30
483,48,40,,,48,,,,,44,,,,31,,50
484,,,,,,8,,,,,,,,,,20
485,10,,,,,3,,,,,,,,,,20
486,46,28,,46,47,33,52,,,56,41,41,,56,,50
487,,,,,,,,,,,,,,,,30
488,,,,,,,,,,,,,,,,30
489,42,36,,42,42,47,44,,,47,31,40,,45,,50
490,43,34,,,41,,,,,44,,,,36,43,50
491,,,,,,,,,,,,,,,,30
492,,,,,,,,,,,,,,,,30
493,,,,,,,,,,,,,,,,30
494,,,,,,,,,,,,,,,,30
495,71,74,73,69,74,79,80,72,75,72,78,80,68,87,107,70
496,61,68,55,64,57,33,55,60,81,,57,,54,46,60,70
497,45,41,,,44,,,,,40,,,,41,43,50
498,48,62,55,62,53,33,55,58,81,,54,,40,41,54,70
501,43,34,,44,44,24,50,,,49,36,43,,44,9,50
502,30,,,,33,33,,,43,22,,,,,,50
503,43,,37,,36,,62,52,46,,60,,38,,38,50
504,44,,46,40,,49,48,37,,60,,,,52,43,50
505,38,38,,33,37,46,34,,,46,25,37,,36,,50
506,51,36,,,43,,,,,48,,,,40,43,50
507,,,,,,,,,,,,,,,,30
508,,,,,,,,,,,,,,,,30
509,,,,,,,,,,,,,,,,30
510,,,,,,,,,,,,,,,,30
511,,,,,,,,,,,,,,,,30
512,,,,,,,,,,,,,,,,30
513,31,36,37,37,37,33,55,58,47,,40,,27,33,41,50
514,44,,45,,45,,82,46,46,,56,,42,,38,50
515,10,,,,,22,,,,,,,,,,20
516,19,,,,,8,,,,,,,,,1,20
517,37,34,,,37,,,,,42,,,,10,5,50
518,48,28,,47,50,25,51,,,60,43,42,,56,,50
519,10,,,31,,,17,22,,23,,,,22,26,50
520,33,37,45,29,33,29,39,26,44,19,,52,,,,50
521,26,21,,,24,,30,,,11,,,,,,50
522,40,,51,40,40,41,49,38,39,27,25,115,,,38,50
523,29,,,,,,,,,,,,,,,20
524,19,,,,,,17,,,,,,,,,20
525,37,,48,47,41,33,51,29,42,27,33,57,,,34,50
526,32,,,,,,,,,,,,,,,20
527,21,,,,,,15,,,,,,,,,20
528,26,37,41,20,27,28,17,26,40,19,,52,,22,26,50
529,42,50,43,49,41,40,71,40,45,55,,52,,,,50
530,33,,34,39,12,40,36,33,14,17,17,115,,,27,50
531,28,21,,,29,39,21,,15,12,,,,,36,50
532,40,,35,39,24,40,39,32,24,14,21,115,,,34,50
533,33,,,32,,40,35,22,,26,,33,,22,31,50
534,37,,36,39,9,18,44,38,26,27,13,115,,,38,50
535,,,,,,,15,,,,,,,,,20
536,33,,,,,,,,,,,,,,,20
537,36,50,45,45,39,37,71,26,45,53,,52,,,,50
538,42,,41,44,42,43,45,43,38,26,37,115,,,37,50
539,46,56,48,56,48,46,80,46,44,70,,54,,,,50
540,46,,49,56,56,53,51,50,47,46,42,75,,,46,50
541,47,55,47,54,46,46,59,43,43,62,,57,,,,50
542,38,,,43,,48,37,28,,49,,43,,25,50,50
543,14,,,,,,,,,,,,,,,20
544,,,,,,,,,,,,,,,,20
545,,,,,,,,,,,,,,,,35
546,33,,,,,,,,,,,,,,,35
547,,,,,,,,10,,,,,,,,35
548,33,,,,,,,,,,,,,,,35
549,45,,,,,,,,,48,,,,,,50
550,57,71,,54,62,,,,,47,63,,,42,42,50
551,,,,,,,,,,,,,,,,30
552,,,,,,,,,,,,,,,,30
553,72,76,71,75,76,76,78,73,73,70,76,84,67,81,107,70
554,,,,,,,,,,,,,,,,30
555,,,,,,,,,,,,,,,,30
556,,,,,,,,,,,,,,,,30
557,,,,,,,,,,,,,,,,30
558,,,,,,,,,,,,,,,,30
559,,,,,,,,,,,,,,,,30
560,,,,,,,,,,,,,,,,30
561,,,,,,,,,,,,,,,,30
562,,,,,,,,,,,,,,,,30
563,,,,,,,,,,,,,,,,30
564,,,,,,,,,,,,,,,,30
565,,,,,,,,,,,,,,,,30
566,,,,,,,,,,,,,,,,30
567,,,,,,,,,,,,,,,,30
568,,,,,,,,,,,,,,,,30
569,,,,,,,,,,,,,,,,30
570,73,74,84,79,78,74,84,75,75,91,94,107,88,77,81,70
571,,,,,,,,,,,,,,,,30
572,,,,,,,,,,,,,,,,30
573,,,,,,,,,,,,,,,,30
574,,,,,,,,,,,,,,,,30
575,,,,,,,,,,,,,,,,30
576,,,,,,,,,,,,,,,,30
577,,,,,,,,,,,,,,,,30
578,,,,,,,,,,,,,,,,30
579,,,,,,,,,,,,,,,,30
580,,,,,,,,,,,,,,,,30
581,71,68,81,79,79,75,83,77,76,91,94,106,80,80,77,70
582,,,,,,,,,,,,,,,,30
583,,,,,,,,,,,,,,,,30
584,,,,,,,,,,,,,,,,30
585,,,,,,,,,,,,,,,,30
586,72,77,70,75,75,76,76,73,73,72,77,78,70,83,91,70
587,,,,,,,,,,,,,,,,20
588,,,,,,,,,,,,,,,,20
589,,,,,,,,,,,,,,,,35
590,23,,,,20,,,,,,,,,,,35
591,27,,,,,,,,,,,,,,,20
592,,,,,,,,,,,,,,,,20
593,45,,,24,27,,,,,,,,,,,50
594,54,59,,,38,,,,,40,59,,,,,50
595,52,,,31,20,,,,,,,,,,,50
596,,,,,,,,,,,,,,,,20
597,22,,,,,,,,,,,,,,,20
598,48,61,,,44,,,,,39,66,,,35,,50
599,54,,,28,,,,,,,,,,,,50
600,55,,,21,,,,,,,,,,41,,50
