id,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname,base_hits
5627,45,46,44,43,41,17,41,45,41,44,33,36,35,39,42,43,42,51,51,55,49,,,78,,,47,80,3,Provincialeweg,143
5628,38,99,91,91,93,89,87,88,87,90,90,88,88,44,48,48,59,44,57,46,35,,,47,,,52,80,3,Weesperstraat,84
5629,92,36,37,39,51,38,45,46,49,,38,45,39,96,92,88,98,101,98,93,90,98,93,107,97,86,95,100,0,AnonymousRoadnl10153321,397
5630,34,42,,,35,31,36,33,,35,,27,44,35,39,,,,,,,,,,,,,80,3,Weesperstraat,47
5632,98,35,,,,40,13,,,,,,,96,95,98,98,103,102,102,103,99,103,104,101,93,100,100,0,A2,1598
5634,45,45,56,43,,47,52,,55,,,,58,,,49,39,53,60,52,44,54,52,41,,,,50,4,Machineweg,37
5635,46,,,,57,63,59,53,60,55,,52,,,49,48,56,52,52,41,52,47,56,,,,58,80,3,Provincialeweg,144
5636,45,42,51,53,49,57,37,49,46,56,57,41,53,68,68,,61,,,,,50,,,73,,,50,4,Machineweg,35
5638,43,45,,42,27,3,44,,,,,33,41,49,,50,39,49,67,44,47,47,43,39,,,,50,4,Machineweg,39
5640,43,,47,39,,34,,43,36,,,,,61,59,,56,,,,,55,,,73,,,50,4,Machineweg,41
5642,96,30,25,39,34,26,,37,22,,,,,91,96,97,97,103,99,101,101,98,98,104,99,93,100,100,0,A2,1994
5652,97,98,98,100,94,88,49,61,42,37,46,63,36,37,43,36,48,57,52,63,64,57,67,29,40,62,104,100,0,A2,2116
5653,60,,,,70,77,73,59,65,60,,65,,78,71,,74,,,,,65,,57,86,,,60,4,Machineweg,42
5654,62,67,56,65,48,70,61,75,64,,,,76,62,,23,56,67,67,81,68,68,52,73,,,,60,4,Machineweg,39
5655,96,94,93,73,71,72,62,64,66,60,69,62,68,91,96,96,98,103,98,100,101,97,98,104,99,93,101,100,0,A2,1997
5662,48,52,56,49,,56,49,,57,,,,61,,,52,52,48,,53,50,55,50,56,,,,60,4,Machineweg,37
5671,101,,2,53,,19,,,,,,,,102,102,104,107,106,104,103,104,101,103,104,103,106,101,100,0,A1,2485
5674,101,11,,,,,,,,,26,,,17,18,19,22,19,34,104,107,104,104,103,106,103,103,100,0,A1,2339
5676,66,2,,,,,,,,,,,21,73,80,74,,68,72,70,64,,,,64,56,61,80,4,Diemerpolderweg,43
5678,58,,,53,,7,,,,,,,,,63,69,68,,66,66,62,,,59,,62,,80,4,Diemerpolderweg,41
5679,101,104,100,102,62,18,45,48,52,49,57,21,18,18,18,18,23,19,49,104,107,103,104,103,106,102,103,100,0,A1,2458
5681,101,104,99,102,61,18,42,47,51,49,58,21,18,19,18,17,23,19,53,104,107,103,104,104,106,102,103,100,0,A1,2458
5684,101,14,,,,,,,,,76,,,101,104,104,106,105,104,103,104,103,103,104,102,106,101,100,0,A1,2485
5685,100,101,103,101,102,103,100,104,105,102,102,106,106,102,104,107,106,106,103,104,103,101,103,105,102,105,102,100,0,A1,2484
5686,67,,80,,67,69,75,80,76,69,64,69,72,72,82,75,,75,84,82,67,,,,63,58,63,80,4,Diemerpolderweg,42
5687,65,71,79,66,60,68,44,83,66,65,70,,,,69,71,70,,66,73,62,,,59,,65,,80,4,Diemerpolderweg,41
5688,69,68,66,73,77,67,81,,,73,62,,80,79,71,73,83,88,90,110,100,,,77,101,,77,100,3,AnonymousRoadnl13153849,101
5690,67,,,,,,,,,,,,,79,71,71,83,77,90,110,100,,,77,101,,77,100,3,AnonymousRoadnl13153849,101
5692,60,,72,,46,60,62,72,72,58,54,59,55,60,78,68,,61,64,58,64,,,,56,51,60,80,4,Diemerpolderweg,43
5694,58,68,68,58,58,66,44,71,64,58,60,,,,61,66,69,,61,64,59,,,59,,59,,80,4,Diemerpolderweg,41
5695,63,,76,,44,60,65,72,72,62,54,67,65,60,80,71,,61,72,58,64,,,,60,51,60,80,4,Diemerpolderweg,43
5696,101,102,103,100,101,103,100,103,108,101,101,104,107,102,104,104,107,106,105,103,104,102,103,104,102,106,101,100,0,A1,2485
5699,57,,,,,,,,,,,,,,61,66,68,,63,64,59,,,59,,59,,80,4,Diemerpolderweg,41
5701,64,,,,,,,,,,,,,60,80,71,,65,72,58,64,,,,60,53,60,80,4,Diemerpolderweg,43
5702,77,79,79,77,81,62,65,,91,68,83,,76,31,69,63,65,64,88,,,,,100,,102,,100,3,AnonymousRoadnl13153843,119
5704,57,,15,53,,,,,,,,,,,63,66,67,,66,64,61,,,59,,60,,80,4,Diemerpolderweg,41
5708,101,103,100,98,60,15,43,39,52,49,50,19,16,20,15,15,15,14,20,100,103,103,103,104,105,102,103,100,0,A1,2340
5711,70,,,,,,,,16,,,,,42,68,65,65,66,74,,,,,81,,93,,100,3,AnonymousRoadnl13153843,119
5713,101,104,101,102,61,18,45,49,54,51,58,22,20,20,18,20,21,20,30,103,107,103,104,104,106,103,104,100,0,A1,2341
5716,76,,,,,,,,,,,,,30,68,64,66,64,88,,,,,100,,102,,100,3,AnonymousRoadnl13153843,119
5718,101,101,102,101,101,103,100,104,108,101,102,105,108,102,105,107,107,106,105,103,104,101,104,105,102,105,105,100,0,A1,2385
5720,101,102,102,101,101,103,100,104,108,102,102,105,109,102,105,107,107,106,105,103,104,102,104,105,102,105,105,100,0,A1,2384
5723,101,,,,,,,,,,,,,20,18,20,21,20,30,104,107,103,104,104,106,103,104,100,0,A1,2341
5744,101,104,100,104,61,21,36,44,46,48,60,19,22,16,16,19,22,28,90,105,107,104,103,104,107,104,104,100,0,A1,2460
5745,100,102,102,101,102,101,101,102,106,102,101,106,105,102,104,107,106,106,103,104,105,102,101,103,103,104,101,100,0,A1,2488
5746,101,105,100,104,59,19,39,44,50,48,58,21,20,17,15,18,20,22,60,104,106,103,103,104,107,104,102,100,0,A1,2458
5747,67,67,84,71,65,71,44,61,,65,74,,,,72,62,69,,65,70,67,,,59,,66,,80,4,Diemerpolderweg,41
5748,62,,74,,66,67,70,78,74,76,61,60,69,64,79,74,,76,78,67,55,,,,57,,62,80,4,Diemerpolderweg,41
5756,35,35,41,45,31,23,40,39,35,42,54,50,37,37,46,,40,,,41,30,34,33,47,,,29,80,3,AnonymousRoadnl13154780,87
5759,33,27,41,25,32,12,43,36,37,42,54,49,33,11,44,,17,,,34,9,17,34,36,,,37,100,3,AnonymousRoadnl13154780,85
5762,33,27,39,47,32,12,43,36,37,42,54,49,33,34,45,,38,,,34,15,18,34,40,,,37,80,3,AnonymousRoadnl13154780,90
5771,98,100,96,89,60,86,86,95,97,98,97,99,101,98,102,101,103,102,109,100,105,103,103,101,99,103,103,100,0,Ringweg-Oost,2506
5781,97,100,101,96,100,97,98,101,100,100,98,105,99,100,98,101,100,103,100,105,103,101,102,100,99,89,106,100,0,Ringweg-Oost,1109
5787,32,26,53,31,32,39,,,39,,,44,25,,,38,37,,37,,,,31,,,,,50,4,Middenweg,22
5788,22,24,59,29,27,23,,,39,,,42,22,,,36,25,,,,,,22,,,,,50,4,Middenweg,20
5789,29,,33,,,37,,,39,,29,,39,,22,40,,,,25,,,39,,,,11,50,4,Middenweg,28
5799,98,101,97,90,67,87,84,94,98,98,99,99,100,101,102,99,103,101,108,99,105,104,103,101,98,104,103,100,0,Ringweg-Oost,2506
5818,93,,,,,,,,,,,,,98,101,95,102,101,98,99,102,101,100,104,102,95,104,100,0,A10,1465
5821,57,,,15,16,,,,,,20,7,,64,59,,61,101,,58,62,62,54,64,,,57,100,3,AnonymousRoadnl13154780,85
5824,98,,,,,,,,,,,,,101,97,101,100,102,101,108,102,102,103,99,100,85,106,100,0,Ringweg-Oost,1110
5828,99,,,,,,,,,,,,,101,97,101,99,103,102,108,102,102,103,99,100,86,106,100,0,Ringweg-Oost,1110
5862,93,,20,4,,30,,,,,26,,,99,101,97,102,101,98,99,101,101,100,101,103,98,105,70,0,A10,1551
5940,73,75,81,75,72,79,69,74,73,72,68,79,76,76,79,80,75,81,79,77,76,77,88,87,81,80,86,70,2,Gooiseweg,455
5943,72,74,74,70,66,75,68,73,73,80,71,68,73,70,71,71,75,77,78,73,75,74,75,76,68,82,96,70,2,Gooiseweg,416
5950,73,75,80,73,73,79,70,73,69,71,69,78,76,76,82,76,72,78,78,78,75,88,82,84,83,81,88,70,2,Gooiseweg,452
6013,57,65,60,66,54,56,63,58,61,58,54,48,61,52,62,67,55,67,64,62,54,45,68,65,49,61,67,70,2,Gooiseweg,415
6018,72,75,73,70,66,73,68,72,72,79,71,70,72,69,68,72,75,77,77,74,75,74,75,75,68,82,101,70,2,Gooiseweg,416
6019,72,73,79,75,71,78,68,73,73,72,68,78,74,76,78,79,75,81,79,76,75,77,88,87,82,80,86,70,2,Gooiseweg,456
6032,72,78,74,73,67,76,70,73,71,77,72,70,73,72,71,72,75,77,78,75,75,74,77,75,70,78,101,70,2,Gooiseweg,416
6036,29,35,,32,,39,40,27,,38,38,31,24,22,,,39,,27,,,36,33,,,40,,50,4,Boven Rijkersloot,25
6037,27,23,29,6,31,28,,37,,,28,17,29,23,,,27,28,,,37,35,,27,,,,50,4,Boven Rijkersloot,25
6050,21,27,33,7,29,21,,18,,,32,17,27,23,,,24,20,,,22,25,,12,,,,30,4,Boven Rijkersloot,25
6051,22,26,,29,,39,40,24,,24,35,24,21,22,,,36,,22,,,28,32,,,28,,30,4,Boven Rijkersloot,25
6058,73,75,71,69,73,75,70,71,71,70,71,75,77,77,85,74,72,75,78,77,73,92,80,87,83,83,86,70,2,Gooiseweg,454
6060,36,35,33,38,38,38,35,36,,37,34,42,46,31,38,39,37,3,,42,42,39,,,,35,43,50,4,Diemerdreef,92
6061,40,40,42,41,44,40,37,39,,42,35,46,43,34,41,44,42,2,,41,46,43,7,,,42,43,50,4,Diemerdreef,99
6062,41,43,43,41,37,40,38,43,,42,35,46,43,34,43,45,42,2,,41,41,43,31,,,44,43,50,4,Diemerdreef,96
6065,71,79,73,71,65,78,70,74,72,72,73,73,73,76,74,72,74,77,78,70,71,75,77,79,69,79,100,70,2,Gooiseweg,416
