id,segment id,length,frc,speedlimit,streetname,geom,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,base_hits
1118,15280049408057,104.67,4,50,Hugo de Vrieslaan,,47.00,43.00,47.00,48.00,,,39.00,52.00,,53.00,,,48.00,48.00,53.00,34.00,49.00,59.00,44.00,42.00,46.00,48.00,55.00,52.00,61.00,61.00,34,93
1119,15280001380480,60.74,4,50,Hugo de Vrieslaan,,38.00,43.00,43.00,31.00,,,27.00,40.00,,52.00,,,32.00,43.00,44.00,36.00,40.00,49.00,45.00,30.00,38.00,46.00,50.00,34.00,55.00,37.00,58,94
1121,15280001314637,35.08,4,50,Julianaplein,,25.00,39.00,9.00,42.00,,58.00,47.00,24.00,,22.00,35.00,46.00,47.00,32.00,45.00,42.00,37.00,87.00,59.00,42.00,21.00,44.00,49.00,,30.00,44.00,38,81
1122,-15280000284041,44.72,4,50,Hugo de Vrieslaan,,35.00,42.00,23.00,21.00,19.00,28.00,,,,33.00,41.00,,,,,27.00,108.00,41.00,,,,,,,,62.00,41,44
1123,15280049405296,32.14,4,50,Julianaplein,,26.00,33.00,8.00,20.00,28.00,36.00,28.00,23.00,23.00,31.00,24.00,28.00,35.00,18.00,24.00,21.00,,25.00,23.00,34.00,30.00,38.00,27.00,27.00,,25.00,40,83
1124,15280001380689,39.33,4,50,Hugo de Vrieslaan,,29.00,51.00,38.00,43.00,,24.00,39.00,24.00,,12.00,,27.00,37.00,6.00,24.00,36.00,37.00,52.00,42.00,30.00,42.00,31.00,41.00,46.00,47.00,46.00,31,76
1125,15280001380690,4.24,4,50,Hugo de Vrieslaan,,37.00,53.00,40.00,43.00,,24.00,40.00,24.00,,42.00,,19.00,50.00,43.00,38.00,35.00,42.00,52.00,42.00,34.00,44.00,47.00,48.00,46.00,47.00,47.00,31,81
1128,15280001380531,64.78,4,50,Hugo de Vrieslaan,,41.00,53.00,45.00,49.00,,,45.00,24.00,,41.00,,,50.00,45.00,44.00,33.00,42.00,58.00,42.00,39.00,45.00,47.00,55.00,47.00,54.00,51.00,31,80
1130,15280000284043,41.17,4,50,Julianaplein,,24.00,35.00,5.00,4.00,15.00,17.00,18.00,20.00,18.00,26.00,26.00,28.00,,23.00,28.00,24.00,28.00,86.00,31.00,25.00,26.00,32.00,42.00,,32.00,27.00,,123
1131,-15280001380512,65.37,4,50,Hugo de Vrieslaan,,39.00,33.00,23.00,21.00,33.00,42.00,44.00,40.00,33.00,37.00,44.00,41.00,53.00,35.00,38.00,39.00,110.00,43.00,42.00,45.00,48.00,43.00,45.00,39.00,39.00,62.00,46,119
1132,15280049408050,5.00,4,50,Hugo de Vrieslaan,,45.00,53.00,50.00,51.00,,,47.00,24.00,,48.00,,,52.00,54.00,50.00,33.00,50.00,60.00,43.00,40.00,51.00,46.00,55.00,48.00,63.00,53.00,40,87
1133,-15280049408050,5.00,4,50,Hugo de Vrieslaan,,42.00,36.00,36.00,27.00,37.00,48.00,48.00,45.00,38.00,39.00,44.00,45.00,60.00,35.00,42.00,45.00,126.00,47.00,49.00,50.00,54.00,43.00,52.00,42.00,39.00,64.00,42,118
