id,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname,base_hits
13266,45,43,43,48,64,49,39,45,50,58,44,54,55,,,,,,,,,,,,,,,50,4,Wielingenstraat,115
13280,22,,25,28,13,38,41,35,41,34,24,16,,,,,,,,,,,,,,,,50,3,Bijlmerdreef,103
13281,23,38,19,29,38,32,35,35,30,20,37,32,10,,,,,,,,,,,,,,,50,4,Scheldeplein,143
13282,34,,39,,43,34,30,39,,3,,3,2,,30,12,,30,34,39,37,,,,41,42,33,50,4,Reigersbosdreef,42
13286,16,7,19,16,8,31,35,16,12,21,11,32,20,,,,,,,,,,,,,,,50,4,Scheldeplein,144
13287,46,51,51,48,,59,,47,45,21,53,44,59,,,,,,,,,,,,,,,50,4,Reigersbosdreef,47
13293,37,37,36,43,25,40,25,43,44,42,28,37,43,,,,,,,,,,,,,,,50,4,Wielingenstraat,107
13299,31,37,36,41,30,36,20,25,17,21,22,28,44,,,,,,7,,,,,,,,,50,4,Scheldeplein,101
13303,38,17,33,39,35,35,36,40,32,39,,23,18,,,,,,,,,,,,,,,50,4,Bijlmerdreef,77
13304,28,17,37,27,28,35,37,32,37,30,22,20,30,,,,,,,,,,,,,,,50,4,Wielingenstraat,140
13308,22,,23,28,13,46,41,35,41,,12,16,11,,,,,,,,,,,,,,,50,4,Dolingadreef,52
13314,28,37,36,37,30,35,20,24,14,21,22,28,44,,,,,,,,,,,,,,,50,4,Scheldeplein,101
13319,14,12,9,13,22,32,20,32,23,21,,24,19,,,,,,,,,,,,,,,50,4,Scheldeplein,185
13322,44,44,40,45,46,34,46,42,38,41,,50,18,,,,,,,,,,,,,,,50,4,Bijlmerdreef,70
13323,43,43,55,45,42,45,48,50,38,35,40,43,42,,,,,,,,,,,,,,,50,4,Wielingenstraat,93
13332,39,,30,34,37,43,,42,36,40,26,44,,,,,13,,40,,,,,,,,,50,4,Bijlmerdreef,64
13344,42,44,40,46,46,34,49,42,38,41,,48,18,,,,,,,,,,,,,,,50,4,Bijlmerdreef,76
13345,30,36,21,19,30,28,17,34,19,23,25,33,42,,,,,,,,,,,,,,,50,4,Scheldeplein,288
13348,18,,28,6,17,35,,35,25,29,15,4,,,,,,,,,,,,,,,,50,4,Bijlmerdreef,61
13375,24,27,32,29,25,28,17,31,23,21,22,24,44,,,,,,,,,,,,,22,,50,4,Scheldeplein,292
13381,25,33,32,36,20,19,19,47,32,15,39,21,32,,,,,,,,,,,,,,,50,3,Bijlmerdreef,77
13390,29,,,,,18,5,,11,29,17,29,,,,,,,3,,,,,,,,,50,3,Bijlmerdreef,65
13394,44,,30,39,29,40,41,37,31,28,29,4,7,,,,,,,,,,,,,,,50,3,Dolingadreef,91
13396,42,,44,,48,55,44,53,,29,2,4,8,,,,,9,37,,,,,,,,,50,4,Reigersbosdreef,35
13398,36,33,33,49,35,29,21,30,47,33,48,35,37,,,,,14,5,,,,,,,,,50,3,Bijlmerdreef,68
13400,20,,25,50,29,18,21,,42,36,18,12,,12,35,37,,39,,36,,51,38,36,29,24,,50,3,Dolingadreef,89
13404,26,,,,,3,25,,16,21,17,10,,,,,,,,,,,,,,,,50,3,Bijlmerdreef,63
13406,26,15,24,32,24,26,22,10,20,21,31,14,12,,,,,,,,,,,,,,,50,3,Burgemeester Stramanweg,144
13407,29,36,21,19,30,27,17,34,19,23,25,33,42,,,,,,,,,,,,,,,50,4,Scheldeplein,293
13409,44,,53,,47,55,47,53,,3,2,5,3,,44,45,,45,47,58,46,,,,41,56,,50,4,Reigersbosdreef,37
13410,11,,,,16,10,14,,9,4,16,7,,8,10,9,33,24,14,,,,27,21,15,19,,50,3,Bijlmerdreef,65
13412,49,65,52,49,58,48,57,39,57,57,53,18,28,,,,,,,,,,,,,,,50,3,Burgemeester Stramanweg,103
13413,27,36,21,19,30,26,17,30,19,23,26,31,35,,,,,,,,,,,,,,,50,4,Scheldeplein,293
13422,20,12,4,16,25,29,17,31,23,21,22,24,22,,,,,,12,,,,,,,,,50,4,Scheldeplein,285
13424,24,27,32,20,13,31,10,34,23,22,,24,11,,,,,,,,,,,,,,,50,4,Scheldestraat,183
13426,26,29,26,25,30,23,20,25,19,28,26,34,32,,,,,,,,,,,,,,,50,4,Scheldestraat,184
13431,29,13,32,43,30,11,12,40,28,38,,20,18,,,,,,,,,,,,,,,50,4,Bijlmerdreef,77
13435,31,,25,,,37,3,,,42,28,12,,,,,,,11,,,,,,,,,50,3,Bijlmerdreef,59
13443,26,,25,,,10,3,,,42,30,15,,,,,,,,,,,,,,,,50,3,Bijlmerdreef,59
13461,19,,25,,,,3,,,,23,14,,,,,,,,,,,,,,,,50,3,Dolingadreef,48
13463,38,,20,35,35,39,41,36,34,27,27,5,6,,,,,,,,,,,,,,,50,3,Dolingadreef,88
13467,19,13,32,36,24,6,30,41,14,25,37,6,13,,,,,,,,,,,,,,,50,3,Bijlmerdreef,77
13471,29,,15,30,46,38,41,35,33,27,25,6,11,,,,,,,,,,,,,,,50,3,Dolingadreef,88
13474,28,27,32,31,30,40,9,34,23,24,,34,42,37,17,23,17,16,38,37,14,4,22,,37,,,50,4,Scheldestraat,183
13476,22,13,32,36,24,23,3,40,14,38,6,7,18,30,32,32,34,39,33,18,,50,30,40,30,29,29,50,4,Bijlmerdreef,41
13477,22,18,11,20,25,7,12,18,27,20,22,21,19,,,,,,14,,,,,,,,,50,4,Scheldestraat,175
13483,32,,25,,,31,3,,,42,20,14,,,,,,,,,,,,,,,,50,3,Bijlmerdreef,61
13494,45,37,41,,42,61,,59,65,47,42,48,,47,61,50,42,44,,55,57,,42,,,,,80,4,Joan Muyskenweg,113
13495,72,83,82,88,74,75,85,78,68,78,87,71,73,71,63,83,,88,76,78,72,98,73,89,67,,78,60,4,AnonymousRoadnl14153688,114
13496,81,91,89,96,84,88,85,88,84,81,90,86,89,79,95,97,95,88,91,80,93,89,85,110,121,80,79,100,0,Nieuwe Utrechtseweg,312
13497,89,88,87,91,84,84,81,83,82,87,83,82,84,83,86,90,91,91,81,90,92,99,93,91,99,94,83,60,0,A9,675
13500,83,81,83,85,85,82,85,84,85,86,83,83,85,,,,,,,,,,,,,,,100,0,AnonymousRoadnl10152932,1386
13501,52,47,66,48,48,63,57,57,37,50,40,51,,23,,,50,39,,,55,,,8,,,50,80,4,Joan Muyskenweg,99
13502,82,81,81,84,83,81,82,83,84,85,83,82,84,81,82,84,80,81,78,82,81,89,90,93,86,83,82,100,0,AnonymousRoadnl10152932,1388
13504,73,72,75,74,78,76,74,73,74,72,72,77,84,76,76,83,73,71,84,93,82,79,,82,88,84,,100,4,AnonymousRoadnl14153622,308
13505,28,27,19,51,29,71,28,30,26,39,28,27,,24,32,32,33,37,26,,2,,,,,,,70,4,AnonymousRoadnl14131200,79
13506,73,84,80,88,81,76,85,78,66,77,87,62,71,71,64,88,,88,82,77,71,98,70,89,65,,78,60,4,AnonymousRoadnl14153688,114
13507,76,27,39,54,49,59,70,70,64,75,69,97,68,85,55,52,72,99,81,80,84,83,68,83,76,56,94,50,0,Nieuwe Utrechtseweg,407
13546,89,90,91,89,97,89,81,79,83,82,78,80,83,,12,,,,,,,,,,,,,100,0,AnonymousRoadnl10153700,399
13508,61,68,58,61,58,68,67,64,57,61,59,70,54,68,59,65,55,64,77,67,,68,,,,,,100,4,AnonymousRoadnl14153622,146
